"","citrate_1","citrate_2","citrate_3","citrate_4","citrate_5","citrate_6","ferulic_acid_1","ferulic_acid_2","ferulic_acid_3","ferulic_acid_4","ferulic_acid_5","ferulic_acid_6","glucose_1","glucose_2","glucose_3","glucose_4","glucose_5","glucose_6","serine_1","serine_2","serine_3","serine_4","serine_5"
"PGD38830964",6.09735076147792,5.9552010630993,6.02331650488208,5.91664478603842,5.80492230606998,5.88165776944505,5.79711700501042,5.93161511152138,6.12832264173808,6.04531180258717,5.60234113906933,5.92340652915631,6.03030498058696,5.81777760723051,6.43060132896077,6.07577529795487,6.27852839457731,5.82829715802377,6.17295387674966,6.18327468320627,6.01411319216407,6.28591308919536,6.15325604362918
"PGD38830980",4.33120733810988,5.60939859734806,4.6243255678401,11.7153560316875,4.59968471722272,6.30040148792868,4.00280625699968,7.67942479051502,4.13805126381746,4.42041106074373,4.47027421798164,4.87032745541218,5.00249780936284,5.38512824131305,4.97122432594951,4.44536802540316,4.29394753891982,4.25224657914181,4.62517214481011,5.40960769041726,4.43732781826928,5.64497929279952,4.50895905148009
"PGD38830984",6.91380968758539,6.97736000016414,6.59226051940618,6.64002126224185,6.71677133301846,6.8186638527703,7.14536639495092,7.17639536466812,7.13432621127242,7.0907735887461,7.42813284417741,7.08772956975571,7.2383361006224,7.16779301677823,7.07515465722482,6.92484880545544,7.40495350390296,7.21529430896024,6.85043338495935,6.95250682386459,6.87324228375808,6.95357471546457,7.19000258684723
"PGD38830986",9.94869546345599,9.93226631979138,9.89465230220983,9.87456219969941,10.0855853422215,11.2920054630387,10.5717869400772,10.5257364370229,10.58671358816,10.5839786108996,10.655523711512,10.6441070208282,11.0486480345122,11.7164242279297,10.8590948843642,10.8482768930864,11.0818885921728,11.0578983311495,10.0606414596637,11.0130130465139,10.1776397395191,10.0859257886267,10.1275852985895
"PGD38830988",7.66139243604205,7.55912650816117,7.73253712444882,7.75425854909797,7.76319324197974,7.78082251327551,8.43790949872504,8.43057891316812,8.45488017415278,8.44247070424954,8.8220681296603,8.74581471432782,9.26402125164647,9.2428518987454,8.8747182495857,8.8106986563367,9.1755238331589,9.06640355431705,8.03785348321565,7.8413488788457,8.12351615711989,8.17823086467241,7.98075490490243
"PGD38830992",6.15580165387301,6.14419121806483,6.21597410413941,6.22425347775391,6.15656233265023,6.00973297938198,5.98077095174887,6.33524767998024,6.28181984205136,6.62225078917939,5.81867943950197,6.17725244014491,5.9853181750123,6.05091947483549,5.94627165196188,5.99307690056356,6.08908651051183,6.42800498083636,5.92545715860665,6.24780629410999,6.1272540786478,6.06931956441839,6.05485777027589
"PGD38830996",8.10632269839475,8.08986204673207,8.05938263634627,8.03189223093153,8.29709067378301,8.31489226105891,8.37670575169582,8.45103927822312,8.45282865660335,8.34681862736745,8.43372811288868,8.58312976047869,8.57991526945853,9.62032487576941,8.5440644381569,8.56525619425604,8.50778017676254,8.43666752160362,8.10632453045089,8.2118347939747,8.70148010570223,8.0883991908425,8.27939136748144
"PGD38830998",7.89663145724216,7.92195664931747,7.88672249327758,7.87985152578092,8.20473100235436,7.71650923457343,7.73183412598633,7.66952993424362,7.60533599946555,7.76811686439078,7.71295708114754,7.79893837457193,8.01039591583141,8.08210474924914,7.93662211372828,8.12472605951954,8.03449981349827,8.25761999845036,7.67493360439473,7.68280804454103,8.04739428881924,7.81007975149049,9.17305093250893
"PGD38831000",9.16197088089183,9.13403604008294,9.03388713851287,8.99600680501285,9.20360472030307,9.2004131873636,8.9471733314861,8.87750651369078,8.99326289303208,8.9603908027923,8.91358087090607,8.96060798601504,8.02193921373271,8.30182755954473,7.88710296826852,7.97867990111402,7.78362540517259,7.68387330667798,9.84394638880239,9.7736655248639,9.9338972714554,10.2786681787758,10.2863627118173
"PGD38831004",4.75355174764213,5.10742227941151,4.79817481690919,5.21967744653661,8.55669747597395,8.48803002197879,4.60761278459669,4.89765329656979,4.73552177615566,4.72928889106731,4.95717941286353,4.90770425320574,4.83379491319368,4.75746342185769,4.60308748701992,4.57554305193208,4.32101548356917,7.38325457506102,5.22774175019596,5.26491521636413,4.8856174495182,7.72448214401541,5.47259965970738
"PGD38831006",8.4462931945151,4.80862147065751,4.33160150851724,4.38853754089487,4.07297956894354,4.1697047082424,4.24175391266439,4.26765494866586,7.31977333799684,4.15308269076001,4.3328567555993,5.42031827993682,3.69663165607253,7.56147958246335,4.2395021236056,4.42980255613842,4.28937303093044,4.65026323368316,4.53971658086899,4.77534711206705,4.3955464488254,3.93911890636278,4.43692316619958
